libelle_court,libelle_long,libelle_edition,id
'BLGCM','BIOL.CELLULAIRE ET MOLECULAIRE','Biol.cellulaire et moleculaire',347
'BLGAN','BIOLOGIE ANIMALE','Biologie animale',348
'MIBIO','MICROBIOLOGIE','Microbiologie',349
'BCHBL','BIOCHIMIE BIOLOGIE','Biochimie biologie',350
'BCHIM','BIOCHIMIE','Biochimie',351
'AUDVI','AUDIOVISUEL','Audiovisuel',352
'ADMTH','ADMINISTRATION (THEATRE)','Administration (theatre)',353
'CI-AV','CINEMA-AUDIOVISUEL','Cinéma-audiovisuel',354
'REGIE','REGIE','Regie',355
'CI-TG','CINEMATOGRAPHIE','Cinematographie',356
'PERUQ','PERRUQUAGE','Perruquage',357
'ACCES','ACCESSOIRISME','Accessoirisme',358
'MAQIL','MAQUILLAGE','Maquillage',359
'EX-PL','EXPRESSION PLASTIQUE','Expression plastique',360
'D-EPL','DESSIN ET EXPRESSION PLASTIQUE','Dessin et expression plastique',361
'SDPCC','SCENOGRAPHIE-DECOR-PERSONNAGES CONCEPT.','Scenographie-decor-personnages concept.',362
'IMANI','INTERPRETATION, MANIPULATION','Interpretation, manipulation',363
'TECPL','TECHNOLOGIE DU PLATEAU','Technologie du plateau',364
'EX-MU','EXPRESSION MUSICALE','Expression musicale',365
'DRAMS','DRAMATURGIE, MISE EN SCENE','Dramaturgie, mise en scene',367
'A-DRA','ART DRAMATIQUE','Art dramatique',368
'ACOUS','ACOUSTIQUE','Acoustique',369
'AP-CA','ATEL. DE PRATIQUE : CINEMA-AUDIOVISUEL','Atel. de pratique : cinema-audiovisuel',370
'AP-TE','ATEL. DE PRAT. : THEATRE EXP. DRAMATIQUE','Atel. de prat. : theatre exp. dramatique',371
'THTSP','THEATRE SPECIALITE','Theatre specialite',372
'CI-PA','CINEMA OPTION - PRATIQUE ARTISTIQUE','Cinema option - pratique artistique',373
'HIASC','HISTOIRE DES ARTS ET SCENOGRAPHIE','Histoire des arts et scenographie',374
'HITDR','HISTOIRE DU THEATRE ET DRAMATURGIE','Histoire du theatre et dramaturgie',375
'SOSPC','SOCIOLOGIE DU SPECTACLE','Sociologie du spectacle',376
'SMACH','SCENOGRAPHIE -MACHINERIE','Scenographie -machinerie',377
'REGLU','REGIE LUMIERE','Regie lumiere',378
'EVCRP','ENVIR.CULTUREL ET RECHERCHE PLASTIQUE','Envir.culturel et recherche plastique',379
'T-SON','TECHNIQUES DU SON','Techniques du son',380
'TECRL','TECHNOLOGIE RELATIONS','Technologie relations',381
'T-EVS','TECH.D''EXPRESS. VISUELLE ET SEMIOLOGIQUE','Tech.d''express. visuelle et semiologique',382
'TECOU','TECHNOLOGIE OUVERTURE','Technologie ouverture',383
'TPRAT','TRAVAUX PRATIQUES','Travaux pratiques',384
'T-EXA','TECHNIQUES D''EXPRESSION AUDIOVISUELLE','Techniques d''expression audiovisuelle',385
'TPPHC','TRAVAUX PRATIQUES DE PHYSIQUE-CHIMIE','Travaux pratiques de physique-chimie',1006
'CH-GE','CHIMIE GENERALE','Chimie generale',1007
'TPMAT','TRAVAUX PRATIQUES MATHEMAT. SUP. OU SPE.','Travaux pratiques mathemat. sup. ou spe.',1008
'SCIEN','SCIENCES','Sciences',1009
'HIGHO','HISTOIRE ET GEOGRAPHIE HOTELIERE','Histoire et geographie hoteliere',1029
'I-MDC','INITIATION AU MONDE CONTEMPORAIN','Initiation au monde contemporain',1030
'HIGEC','HISTOIRE ET GEOGRAPHIE ECONOMIQUE','Histoire et geographie economique',1031
'HIFES','HISTOIRE FAITS ECONOMIQUES ET SOCIAUX','Histoire faits economiques et sociaux',1032
'HIGEO','HISTOIRE ET GEOGRAPHIE','Histoire-géographie',1033
'HIGMO','HISTOIRE GEOGRAPHIE MODULE','Histoire geographie module',1034
'HISTO','HISTOIRE','Histoire',1035
'GEOGF','GEOGRAPHIE','Geographie',1036
'GEOGT','GEOGRAPHIE GENERALE ET TOURISTIQUE','Geographie generale et touristique',1037
'GEOAP','GEOGRAPHIE APPLIQUEE','Geographie appliquee',1038
'GEOEC','GEOGRAPHIE ECONOMIQUE','Geographie economique',1039
'EDCIV','EDUCATION CIVIQUE','Education civique',1040
'LMR3','MELANESIEN DREHU LV3','Mélanésien drehu lv3',1042
'LMR4','MELANESIEN DREHU RENFORCEE','Mélanésien drehu renforcee',1043
'LMR5','MELANESIEN DREHU DEBUTANT','Mélanésien drehu debutant',1044
'LMR2C','MELANESIEN DREHU LV2 CORRESP.','Mélanésien drehu lv2 corresp.',1045
'LMR3C','MELANESIEN DREHU LV3 CORRESP.','Mélanésien drehu lv3 corresp.',1046
'LMN2','MELANESIEN NENGONE LV2','Mélanésien nengone lv2',1050
'LMN3','MELANESIEN NENGONE LV3','Mélanésien nengone lv3',1051
'LMN4','MELANESIEN NENGONE RENFORCEE','Mélanésien nengone renforcee',1052
'LMN2C','MELANESIEN NENGONE LV2 CORRESP.','Mélanésien nengone lv2 corresp.',1054
'LMD3','MELANESIEN PAICI LV3','Mélanésien paici lv3',1059
'LMD4','MELANESIEN PAICI RENFORCEE','Mélanésien paici renforcee',1060
'LMD5','MELANESIEN PAICI DEBUTANT','Mélanésien paici debutant',1061
'LMD2C','MELANESIEN PAICI LV2 CORRESP.','Mélanésien paici lv2 corresp.',1062
'LMD3C','MELANESIEN PAICI LV3 CORRESP.','Mélanésien paici lv3 corresp.',1063
'MOS2','LANGUES REGION. DES PAYS MOSELLANS LV2','Langues régionales des pays mosellans lv2',1065
'MOS3','LANGUES REGION. DES PAYS MOSELLANS LV3','Langues régionales des pays mosellans lv3',1066
'MOS5','LANGUES REGION. DES PAYS MOSELLANS DEBUT','Langues régionales des pays mosellans debut',1067
'MOS3C','LANGUES REGION. PAYS MOSELLANS 3CORRESP','Langues régionales des pays mosellans 3corresp',1068
'MEL2','LANGUES MELANESIENNE2','Langues mélanesienne2',1071
'MEL3','LANGUES MELANESIENNE3','Langues mélanesienne3',1072
'MEL4','LANGUES MELANESIENNE LV RENFORCEE','Langues mélanesienne lv renforcee',1073
'MEL5','LANGUES MELANESIENNE5','Langues mélanesienne5',1074
'MEL2C','LANGUES MELANESIENNE2 CORRESP','Langues mélanesienne2 corresp',1077
'MEL3C','LANGUES MELANESIENNE3 CORRESP','Langues mélanesienne3 corresp',1078
'LMJ2','MELANESIEN AJIE LV2','Mélanésien ajie lv2',1084
'LMJ3','MELANESIEN AJIE LV3','Mélanésien ajie lv3',1085
'LMJ4','MELANESIEN AJIE RENFORCEE','Mélanésien ajie renforcee',1086
'LMJ5','MELANESIEN AJIE DEBUTANT','Mélanésien ajie debutant',1087
'LMJ2C','MELANESIEN AJIE LV2 CORRESP.','Mélanésien ajie lv2 corresp.',1089
'LMJ3C','MELANESIEN AJIE LV3 CORRESP.','Mélanésien ajie lv3 corresp.',1090
'VAL2C','VIVARO-ALPIN LV2 CORRESP.','Vivaro-alpin lv2 corresp.',1095
'VAL3C','VIVARO-ALPIN LV3 CORRESP.','Vivaro-alpin lv3 corresp.',1096
'COUPE','COUPE (TRACE MOULAGE)','Coupe (trace moulage)',712
'F-EST','FORMATION ESTHETIQUE','Formation esthetique',713
'CUIRT','CUIR BRUT ET TANNERIE','Cuir brut et tannerie',714
'TECFA','TECHNOLOGIE DE FABRICATION','Technologie de fabrication',715
'CH-AE','CHIMIE APPLIQUEE A L''ENNOBLISSEMENT','Chimie appliquee a l''ennoblissement',716
'GNIND','GENIE INDUSTRIEL','Genie industriel',717
'GNITD','GENIE INDUSTRIEL TEXTILE ET CUIR DIVERS','Genie industriel textile et cuir divers',718
'ATTP','ATELIER TP (FAMILLE 13)','Atelier tp (famille 13)',719
'R-EF','REALISATION D''ENSEMBLES FONCTIONNELS','Realisation d''ensembles fonctionnels',720
'SCAPF','SCIENCES APPLIQUEES A LA PROFESSION','Sciences appliquees a la profession',721
'CP-EO','CONCEPTION PRODUITS - ETUDE OUTILLAGES','Conception produits - etude outillages',722
'MPMEO','MATERIAUX ET PROCEDES DE MISE EN OEUVRE','Materiaux et procedes de mise en oeuvre',723
'BUREM','BUREAU D''ETUDES METHODES FABRICATION POS','Bureau d''etudes methodes fabrication pos',724
'HYGSP','HYGIENE SECURITE PREVENTION','Hygiene securite prevention',725
'MRMNB','MONOGRAPHIE RECO.MACR.NEGOCE DU BOIS','Monographie reco.macr.negoce du bois',726
'EQBOI','EQUIPEMENTS ANNEXES DES INDUS.DU BOIS','Equipements annexes des indus.du bois',727
'ATSPE','ATELIER SPECIALITE EBENISTERIE','Atelier specialite ebenisterie',728
'MESPP','MESURES ET MODELES PROCESSUS PAPETIERS','Mesures et modeles processus papetiers',729
'EFPAP','ETUDE FONCTIO. ET STRUCTUR. DES SYSTEMES','Etude fonctio. et structur. des systemes',730
'GAS2','GASCON LV2','Gascon lv2',733
'GAS3','GASCON LV3','Gascon lv3',734
'GAS5','GASCON DEBUTANT','Gascon debutant',735
'GAS2C','GASCON LV2  CORRESP.','Gascon lv2  corresp.',737
'GAS3C','GASCON LV3  CORRESP.','Gascon lv3  corresp.',738
'LAN2','LANGUEDOCIEN LV2','Languedocien lv2',741
'LAN3','LANGUEDOCIEN LV3','Languedocien lv3',742
'LAN5','LANGUEDOCIEN DEBUTANT','Languedocien debutant',743
'LAN2C','LANGUEDOCIEN LV2  CORRESP.','Languedocien lv2  corresp.',745
'LAN3C','LANGUEDOCIEN LV3  CORRESP.','Languedocien lv3  corresp.',746
'OCC2','LANGUE D''OC LV2','Langue d''oc lv2',749
'OCC3','LANGUE D''OC LV3','Langue d''oc lv3',750
'OCC5','LANGUE D''OC LV DEBUTANT','Langue d''oc lv debutant',751
'LRA3','LANGUES REGIONALES D''ALSACE LV3','Langues régionales d''Alsace lv3',753
'LRA5','LANGUES REGIONALES D''ALSACE DEBUTANT','Langues régionales d''Alsace debutant',754
'LRA3C','LANGUES REGIONALES D''ALSACE LV3  CORRESP','Langues régionales d''Alsace lv3  corresp',756
'BAS2','BASQUE LV2','Basque lv2',760
'BAS3','BASQUE LV3','Basque lv3',761
'BAS5','BASQUE DEBUTANT','Basque debutant',762
'BAS3C','BASQUE LV3  CORRESP.','Basque lv3  corresp.',764
'BRE2','BRETON LV2','Breton lv2',767
'BRE3','BRETON LV3','Breton lv3',768
'BRE5','BRETON DEBUTANT','Breton debutant',769
'BRE2C','BRETON LV2  CORRESP.','Breton lv2  corresp.',770
'BRE3C','BRETON LV3  CORRESP.','Breton lv3  corresp.',771
'CAT3','CATALAN LV3','Catalan lv3',774
'CAT5','CATALAN DEBUTANT','Catalan debutant',775
'CAT2C','CATALAN LV2  CORRESP.','Catalan lv2  corresp.',777
'COR2','CORSE LV2','Corse lv2',780
'COR3','CORSE LV3','Corse lv3',781
'COR5','CORSE DEBUTANT','Corse debutant',782
'COR3C','CORSE LV3  CORRESP.','Corse lv3  corresp.',784
'GAL2','GALLO LV2','Gallo lv2',787
'GAL3','GALLO LV3','Gallo lv3',788
'PER3C','PERSAN  LV3  CORRESP.','Persan  lv3  corresp.',789
'TUR2','TURC LV2','Turc lv2',792
'TUR3','TURC LV3','Turc lv3',793
'TUR5','TURC DEBUTANT','Turc debutant',794
'TUR9','TURC LANGUE DE SECTION','Turc langue de section',795
'TUR2C','TURC LV2  CORRESP.','Turc lv2  corresp.',797
'TUR3C','TURC LV3  CORRESP.','Turc lv3  corresp.',798
'ERPAP','ET.RELAT.PRODUITS-PROCEDES(GEN.PAPETIER)','Et.relat.produits-procedes(gen.papetier)',799
'CPPAP','CONDUITE DES PROCESS (GENIE PAPETIER)','Conduite des process (genie papetier)',800
'EEPBA','EXPERIMENTATION ET ESSAIS (PROD.BOIS-AM)','Experimentation et essais (prod.bois-am)',801
'ETINT','ETUDE D''INDUSTRIALISATION ET TECHNOLOGIE','Etude d''industrialisation et technologie',802
'FSECB','FABRICATION ET SECURITE (PROD.BOIS AM.)','Fabrication et securite (prod.bois am.)',803
'E-TMT','ETUDE TECHNO. MOYENS DE TRANSFO. (G.PAP)','Etude techno. moyens de transfo. (g.pap)',804
'GNIBD','GENIE INDUSTRIEL DU BOIS DIVERS','Genie industriel du bois divers',805
'D-PRJ','DESSIN ET PROJET','Dessin et projet',806
'TECAT','TECHNOLOGIE APPLIC. ET TRAVAUX PRATIQUES','Technologie applic. et travaux pratiques',807
'D-PAR','DESSIN PROFESSIONNEL ARTISTIQUE','Dessin professionnel artistique',808
'CTPRD','CONSTRUCTION DU PRODUIT','Construction du produit',809
'D-APF','DESSIN APPLIQUE A LA PROFESSION','Dessin applique a la profession',810
'MOEUV','MISE EN OEUVRE','Mise en oeuvre',811
'TECCM','TECHNO CONSTRUCTION MACH,ETUDE MATERIELS','Techno construction mach,etude materiels',812
'FA-TC','FABRICATION (TEXTILE ET CUIR)','Fabrication (textile et cuir)',813
'SKI','SKI','Ski',814
'TENIS','TENNIS','Tennis',815
'TENIT','TENNIS DE TABLE','Tennis de table',816
'TIRAC','TIR A L''ARC','Tir a l''arc',817
'VOLEY','VOLLEY BALL','Volley ball',818
'ESCAL','ESCALADE','Escalade',819
'SKIFD','SKI DE FOND','Ski de fond',820
'HPPEQ','HIPPOLOGIE ET EQUITATION','Hippologie et équitation',821
'CANOK','CANOE ET CANOE KAYAK','Canoe et canoe kayak',823
'CYCLI','CYCLISME','Cyclisme',830
'VOILE','VOILE','Voile',831
'GOLF','GOLF','Golf',832
'EPSDI','E.P.S. DIVERS','E.p.s. divers',833
'ATTSE','ATELIER TECHNO. SPECIALITE EBENISTERIE','Atelier techno. specialite ebenisterie',834
'HIAAS','HISTOIRE DE L''ART ET ANALYSE DES STYLES','Histoire de l''art et analyse des styles',835
'ETFAB','ETUDE DE FABRICATION','Etude de fabrication',836
'ETSYC','ETUDE DES SYSTEMES CONSTRUCTIFS','Etude des systemes constructifs',837
'TPFAS','TP: FABRICATION,SITE','Tp: fabrication,site',838
'TECSP','TECHNOLOGIE DE SPECIALITE','Technologie de specialite',839
'CALST','CALCUL DES STRUCTURES','Calcul des structures',840
'TECEB','TECHNOLOGIE GENERALE EBENISTERIE','Technologie generale ebenisterie',841
'TECSE','TECHNOLOGIE SPECIALITE EBENISTERIE','Technologie specialite ebenisterie',842
'P-OR','PREPARATION ET ORGANISATION','Preparation et organisation',843
'HISTY','HISTOIRE DES STYLES','Histoire des styles',844
'TECCN','TECHNOLOGIE ET CONSTRUCTION','Technologie et construction',845
'XYLOG','XYLOLOGIE','Xylologie',846
'CHANT','CHANT','Chant',847
'MUSIQ','MUSIQUE','Musique',848
'HIMUD','HISTOIRE DE LA MUSIQUE ET DE LA DANSE','Histoire de la musique et de la danse',849
'AP-MU','ATEL. DE PRATIQUE : MUSIQUE','Atel. de pratique : musique',850
'MUSPE','MUSIQUE SPECIALITE','Musique specialite',851
'MUSPA','MUSIQUE OPTION - PRATIQUE ARTISTIQUE','Musique option - pratique artistique',852
'EDMUD','EDUCATION MUSICALE DIVERS','Education musicale divers',853
'A-PLA','ARTS PLASTIQUES','Arts plastiques',854
'EDEST','EDUCATION ESTHETIQUE','Education esthetique',855
'I-EST','INITIATION ESTHETIQUE','Initiation esthetique',856
'GRAPH','GRAPHISME','Graphisme',857
'VOLUM','VOLUME','Volume',858
'COULR','COULEUR','Couleur',859
'A-PSP','ARTS PLASTIQUES SPECIALITE','Arts plastiques specialite',860
'A-PPA','ARTS PLASTIQUES OPTION - PRAT. ARTIST.','Arts plastiques option - prat. artist.',861
'A-PLD','ARTS PLASTIQUES DIVERS','Arts plastiques divers',862
'EPS','EDUCATION PHYSIQUE ET SPORTIVE','Education physique et sportive',863
'EQUIT','EQUITATION','Equitation',864
'ESCRI','ESCRIME','Escrime',865
'EPSPA','EDUC. PHYSIQUE ET SPORTIVE PLEIN AIR','Educ. physique et sportive plein air',866
'ATHLE','ATHLETISME','Athletisme',868
'BASKT','BASKET-BALL','Basket-ball',869
'FOOTB','FOOTBALL','Football',870
'GYMNA','GYMNASTIQUE','Gymnastique',872
'JUDO','JUDO','Judo',873
'NATAT','NATATION ET ACTIV.SPORTIV. AQUATIQUES','Natation et activ.sportiv. aquatiques',874
'RUGBY','RUGBY','Rugby',875
'TECDE','TECHNOLOGIE ET DESSIN','Technologie et dessin',876
'TECES','TECHNOLOGIE DES EQUIPEMENTS ET SUPPORTS','Technologie des equipements et supports',877
'T-MEO','TECHNIQUES ET MISE EN OEUVRE','Techniques et mise en oeuvre',878
'ETDIF','ENSEIGNEMENT TECHNOLOGIQUE DIFFERENCIE','Enseignement technologique differencie',879
'TECDI','TECHNOLOGIE DIVERS','Technologie divers',880
'HIMCO','HISTOIRE MUSIQUE-CRITIQUE OEUVRES ENREG.','Histoire musique-critique oeuvres enreg.',881
'DISOL','DICTEE, SOLFEGE','Dictee, solfege',882
'T-INS','TECHNIQUE INSTRUMENTALE','Technique instrumentale',883
'DISTM','DICTEE, SOLFEGE, THEORIE MUSICALE','Dictee, solfege, theorie musicale',884
'ENITM','ENSEMBLE INSTRUMENTAL','Ensemble instrumental',885
'HARMO','HARMONIE','Harmonie',886
'SOLFG','SOLFEGE','Solfege',887
'CHANK','CHANT CHORAL','Chant choral',888
'N-MUS','ENSEIGNEMENT MUSICAL','Enseignement musical',889
'EDMUS','EDUCATION MUSICALE','Education musicale',890
'EXEIN','EXECUTION INSTRUMENTALE','Execution instrumentale',891
'EXECH','EXECUTION CHOREGRAPHIQUE','Execution choregraphique',892
'HIMUS','HISTOIRE DE LA MUSIQUE','Histoire de la musique',893
'I-OMU','INITIATION AUX OEUVRES MUSICALES','Initiation aux oeuvres musicales',894
'DIMUS','DICTEE MUSICALE','Dictee musicale',895
'ANALY','ANALYSE','Analyse',896
'LECVI','LECTURE A VUE INSTRUMENTALE','Lecture a vue instrumentale',897
'MUSEN','MUSIQUE D''ENSEMBLE','Musique d''ensemble',898
'HARSO','HARMONIE OU SOLFEGE','Harmonie ou solfege',899
'DANSE','DANSE','Danse',900
'PR-IS','PRATIQUE INSTRUMENTALE','Pratique instrumentale',901
'TECIV','TECHNOLOGIE INSTRUMENTALE ET VOCALE','Technologie instrumentale et vocale',902
'KORAL','CHORALE','Chorale',903
'TPENR','TRAVAUX PRATIQUES D''ENREGISTREMENT','Travaux pratiques d''enregistrement',904
'HASOK','HARMONIE OU SOLFEGE OU CHOREGRAPHIE','Harmonie ou solfege ou choregraphie',905
'SVT-S','SCIENCES DE LA VIE & DE TERRE SPECIALITE','Sciences de la vie & de terre specialite',906
'ATGCH','ATELIER DE GENIE CHIMIQUE','Atelier de genie chimique',907
'OPTIQ','OPTIQUE','Optique',908
'SPHCA','SCIENCES PHYS. ET PHYSIQUE CHIMIE APPLIQ','Sciences phys. et physique chimie appliq',909
'S-IND','SCIENCES INDUSTRIELLES','Sciences industrielles',910
'CHI-4','CHIMIE (4 HEURES CPGE : PCSI)','Chimie (4 heures cpge : pcsi)',911
'CHI-2','CHIMIE (2EME PERIODE CPGE : PSI)','Chimie (2eme periode cpge : psi)',912
'SC-IG','SCIENCES DE L INGENIEUR','Sciences de l ingénieur',913
'CH-TC','CHIMIE ET TECHNOLOGIE CHIMIQUE','Chimie et technologie chimique',914
'PH-TP','PHYSIQUE ET TECHNOLOGIE PHYSIQUE','Physique et technologie physique',915
'S-IN4','SCIENCES INDUST.4 HEURES 2E PERIODE MPSI','Sciences indust.4 heures 2e periode mpsi',916
'SCDIV','SCIENCES DIVERS','Sciences divers',917
'TECTD','TECHNOLOGIE ET TRAVAUX DIRIGES','Technologie et travaux diriges',918
'TECRE','TECHNOLOGIE ET REALISATION','Technologie et realisation',919
'TECAV','TECHNOLOGIE  APPLIQUEE AU VEHICULE','Technologie  appliquee au vehicule',920
'T-IND','TECHNIQUES INDUSTRIELLES','Techniques industrielles',921
'TECAI','TECHNOLOGIE ET AUTOMATISMES INDUSTRIELS','Technologie et automatismes industriels',922
'TECHN','TECHNOLOGIE','Technologie',923
'TECGL','TECHNOLOGIE GENERALE','Technologie generale',924
'G-TPR','ENSEIGNEMENT TECHNOLOGIQUE-PROFESSIONNEL','Enseignement technologique-professionnel',925
'T-REA','TECHNIQUE ET REALISATION','Technique et realisation',926
'TECIO','TECHNOLOGIE INDUSTRIELLE OPTION','Technologie industrielle option',927
'TECMT','TECHNOLOGIE APPLIQUEE MOTEUR-TRANSMISSIO','Technologie appliquee moteur-transmissio',928
'TECPR','TECHNOLOGIE PROFESSIONNELLE','Technologie professionnelle',929
'TECTA','TECHNOLOGIE ET TRAVAUX D''ATELIER','Technologie et travaux d''atelier',930
'TECIM','TECHNOLOGIE INDUSTRIELLE MODULE','Technologie industrielle module',931
'CH-GI','CHIMIE GENERALE ET INORGANIQUE','Chimie generale et inorganique',932
'MOSPH','MODULE SCIENCES PHYSIQUES','Module sciences physiques',933
'CH-OR','CHIMIE ORGANIQUE','Chimie organique',934
'CH-AM','CHIMIE APPLIQUEE AUX MATERIAUX','Chimie appliquee aux materiaux',935
'OPEAC','OPTIQUE ELECTRONIQUE ACOUSTIQUE','Optique electronique acoustique',936
'PH-CM','PHYSIQUE CHIMIE MODULE','Physique chimie module',937
'SVTMO','SCIENCES DE LA VIE ET DE LA TERRE MODULE','Sciences de la vie et de la terre module',938
'SCNAT','SCIENCES NATURELLES','Sciences naturelles',939
'LABO','LABORATOIRE','Laboratoire',940
'SPHPA','SCIENCES PHYSIQUES ET PHYSIQUE APPLIQUEE','Sciences physiques et physique appliquee',941
'IESP','INFORMATIQUE ET ELECTRONIQUE EN SC.PH.','Informatique et electronique en sc.ph.',942
'STATI','STATISTIQUES','Statistiques',943
'MA-AQ','MATHEMATIQUES APPLIQUEES ET STATISTIQUES','Mathematiques appliquees et statistiques',944
'G-SCI','ENSEIGNEMENT SCIENTIFIQUE','Enseignement scientifique',945
'PH-MT','PHYSIQUE : MECA, THERMIQUE, FLUIDIQUE','Physique : meca, thermique, fluidique',946
'CH-AP','CHIMIE APPLIQUEE','Chimie appliquee',947
'OPPHC','OPTIQUE ET PHYSICO-CHIMIE','Optique et physico-chimie',948
'PHYSI','PHYSIQUE','Physique',949
'TPPHY','TRAVAUX PRATIQUES DE PHYSIQUE','Travaux pratiques de physique',950
'TPCHI','TRAVAUX PRATIQUES DE CHIMIE','Travaux pratiques de chimie',951
'TPCHM','TRAVAUX PRATIQUES DE CHIMIE HOR MAX','Travaux pratiques de chimie hor max',952
'TECSH','TECHNOLOGIE ET SCHEMA','Technologie et schema',953
'SCEXP','SCIENCES EXPERIMENTALES','Sciences experimentales',954
'MA-AS','MATHEMATIQUES APPLIQUEES SPECIALITE','Mathematiques appliquees specialite',955
'MA-SP','MATHEMATIQUES SPECIALITE','Mathematiques specialite',956
'PH-CS','PHYSIQUE CHIMIE SPECIALITE','Physique chimie specialite',957
'TDPHY','TRAVAUX DIRIGES DE PHYSIQUE','Travaux diriges de physique',958
'CH-MN','CHIMIE MINERALE','Chimie minerale',959
'TDMAT','TRAVAUX DIRIGES DE MATHEMATIQUES','Travaux diriges de mathematiques',960
'SCAPL','SCIENCES APPLIQUEES','Sciences appliquees',961
'CFOSC','COMPLEMENT DE FORMATION SCIENTIFIQUE','Complement de formation scientifique',962
'MATHS','MATHEMATIQUES','Mathématiques',963
'MA-OP','MATHEMATIQUES OPTION','Mathematiques option',964
'MA-RF','MATHEMATIQUES RENFORCEES','Mathematiques renforcees',965
'MA-AP','MATHEMATIQUES APPLIQUEES','Mathematiques appliquees',966
'MA-AA','MATHEMATIQUES APPLIQUEES APPROFONDIES','Mathematiques appliquees approfondies',967
'MA-IF','MATHEMATIQUES INFORMATIQUE','Mathematiques informatique',968
'MA-SC','MATHS SCIENCES','Maths sciences',969
'MA-PH','MATHEMATIQUES, SCIENCES PHYSIQUES','Mathematiques, sciences physiques',970
'OPTIM','OPTIQUE OPTOELECTRONIQUE ET IMAGERIE','Optique optoelectronique et imagerie',971
'MA-SI','MATHEMATIQUES STATISTIQUES INFORMATIQUE','Mathematiques statistiques informatique',972
'MA-ST','MATHEMATIQUES ET STATISTIQUES','Mathematiques et statistiques',973
'MA-ME','MATHEMATIQUES ET MECANIQUES','Mathematiques et mecaniques',974
'PH-CH','PHYSIQUE-CHIMIE','Physique-chimie',975
'PH-CO','PHYSIQUE-CHIMIE OPTION','Physique-chimie option',976
'SCPHY','SCIENCES PHYSIQUES','Sciences physiques',977
'TPSPH','TP DE SCIENCES PHYSIQUES','Tp de sciences physiques',978
'PH-IN','PHYSIQUE INDUSTRIELLE','Physique industrielle',979
'SCPHA','SCIENCES PHYSIQUES APPLIQUEES','Sciences physiques appliquees',980
'SVT','SCIENCES DE LA VIE ET DE LA TERRE','Sciences de la vie et de la terre',981
'PH-AO','PHYSIQUE APPLIQUEE OPTIQUE','Physique appliquee optique',982
'PH-EL','PHYSIQUE ELECTRICITE','Physique electricite',983
'CH-LI','CHIMIE(LABO.INDUSTRIEL ET RECHERCHE)','Chimie(labo.industriel et recherche)',984
'CHIMI','CHIMIE','Chimie',985
'SCTKN','SCIENCES APPL. ET TECHNOLOGIES NOUVELLES','Sciences appl. et technologies nouvelles',986
'HIGIC','HISTOIRE,GEOGRAPHIE,INSTRUCTION CIVIQUE','Histoire,geographie,instruction civique',987
'CIVLS','CIVILISATION','Civilisation',988
'HIANC','HISTOIRE ANCIENNE','Histoire ancienne',989
'HGECV','HIST.-GEO.,ECONOMIE ET EDUCATION CIVIQUE','Hist.-geo.,economie et education civique',990
'HIGCV','HISTOIRE-GEOGRAPHIE-EDUCATION CIVIQUE','Histoire-geographie-education civique',991
'HIGLP','HIST-GEOGRAPHIE,LEGISLATION PROFESSIONN.','Hist-geographie,legislation professionn.',992
'TDECO','TRAVAUX DIRIGES D''ECONOMIE','Travaux diriges d''economie',993
'SECO','SCIENCES ECONOMIQUES','Sciences economiques',994
'E-OAN','ECONOMIE (ANALYSE DES ECONOMIES)','Economie (analyse des economies)',995
'I-ECO','INITIATION ECONOMIQUE','Initiation economique',996
'STECO','SCIENCES ET TECHNIQUES ECONOMIQUES','Sciences et techniques economiques',997
'SES','SCIENCES ECONOMIQUES ET SOCIALES','Sciences économiques et sociales',998
'E-OAP','ECONOMIE APPLIQUEE','Economie appliquee',999
'E-OSS','ECONOMIE ET SCIENCES SOCIALES','Economie et sciences sociales',1000
'E-OSO','ECONOMIE ET SOCIAL','Economie et social',1001
'SESMO','SES MODULE','Ses module',1002
'SESDB','SES DEBUTANTS','Ses debutants',1003
'E-HSC','ANAL.ECONOM.HISTORIQ.SOCIETES CONTEMPOR.','Anal.econom.historiq.societes contempor.',1004
'I-SEC','INITIATION AUX SCIENCES ECONOMIQUES','Initiation aux sciences economiques',1005
'BUL2','BULGARE  LV2','Bulgare  lv2',1246
'BUL3','BULGARE  LV3','Bulgare  lv3',1247
'BUL5','BULGARE  DEBUTANT','Bulgare  debutant',1248
'BUL9','BULGARE LANGUE DE SECTION','Bulgare langue de section',1249
'BUL2C','BULGARE  LV2  CORRESP.','Bulgare  lv2  corresp.',1251
'BUL3C','BULGARE  LV3  CORRESP.','Bulgare  lv3  corresp.',1252
'CAM2','CAMBODGIEN LV2','Cambodgien lv2',1255
'CAM3','CAMBODGIEN LV3','Cambodgien lv3',1256
'CAM9','CAMBODGIEN LANGUE DE SECTION','Cambodgien langue de section',1257
'CAM2C','CAMBODGIEN LV2  CORRESP.','Cambodgien lv2  corresp.',1259
'CAM3C','CAMBODGIEN LV3  CORRESP.','Cambodgien lv3  corresp.',1260
'VIE2','VIETNAMIEN LV2','Vietnamien lv2',1262
'VIE3','VIETNAMIEN LV3','Vietnamien lv3',1263
'VIE5','VIETNAMIEN DEBUTANT','Vietnamien debutant',1264
'VIE9','VIETNAMIEN LANGUE DE SECTION','Vietnamien langue de section',1265
'VIE2C','VIETNAMIEN LV2  CORRESP.','Vietnamien lv2  corresp.',1266
