libelle_court,libelle_long,libelle_edition,id
'LGOST','LEGISLATION ET ORG.SCIENT.DU TRAVAIL','Legislation et org.scient.du travail',76
'ATSIN','ACTION SOCIALE ET INSTITUTIONS','Action sociale et institutions',77
'AGTCC','AGENT COMMERCIAL DE CONDUITE','Agent commercial de conduite',78
'VDISQ','VENTE DE DISQUES ET PRODUITS ASSIMILES','Vente de disques et produits assimiles',79
'VCLAV','VENTE CLAVIERS ELECTRON.-INFORM.MUSICALE','Vente claviers electron.-inform.musicale',80
'VBRUN','VENTE DE PRODUITS BRUNS','Vente de produits bruns',81
'E-GSD','ECONOMIE ET GESTION DIVERS','Economie et gestion divers',82
'SDSCI','SECRETARIAT ET DOC. SCIENTIFIQUE','Secretariat et doc. scientifique',83
'CORES','CORRESPONDANCE','Correspondance',84
'SAIDO','SAISIE DONNEES','Saisie donnees',85
'CORRA','CORRESPONDANCE ET RAPPORT','Correspondance et rapport',86
'T-SEC','TECHNIQUES DE SECRETARIAT','Techniques de secretariat',87
'BURTQ','BUREAUTIQUE','Bureautique',88
'UCLAV','UTILISATION DES CLAVIERS','Utilisation des claviers',89
'DACTL','DACTYLOGRAPHIE','Dactylographie',90
'PRPAR','PRISE RAPIDE DE LA PAROLE','Prise rapide de la parole',91
'STENO','STENOGRAPHIE','Stenographie',92
'SCTLA','SECRETARIAT EN LANGUE ETRANGERE A','Secretariat en langue etrangere a',93
'SCTLB','SECRETARIAT EN LANGUE ETRANGERE B','Secretariat en langue etrangere b',94
'T-BSE','TECHNIQUES DE BASE DU SECRETARIAT','Techniques de base du secretariat',95
'BUREA','BUREAU','Bureau',96
'MA1BU','MODULE D''APPROFOND. 1 (BUREAUTIQUE)','Module d''approfond. 1 (bureautique)',97
'MA2BU','MODULE D''APPROFOND. 2 (BUREAUTIQUE)','Module d''approfond. 2 (bureautique)',98
'I-OUB','INITIATION AUX OUTILS DE LA BUREAUTIQUE','Initiation aux outils de la bureautique',99
'MTPCP','METH.PRAT.DE COMMUNICAT.PROFESSIONNELLE','Meth.prat.de communicat.professionnelle',100
'O-GES','ORGANISATION ET GESTION','Organisation et gestion',101
'MTACP','METHODOLOGIE ACTION ET CONDUITE PROJETS','Methodologie action et conduite projets',102
'CMNLF','COMMUNIC.PROFESS.SECRET.LANGUE FRANCAISE','Communic.profess.secret.langue francaise',103
'O-GAI','ORGANISAT.GEST. ACTIV. NATIO.INTERNATIO.','Organisat.gest. activ. natio.internatio.',104
'ATPRO','ACTIONS PROFESSIONNELLES','Actions professionnelles',105
'VVHOR','VENTE DE VEGETAUX HORTICOLES','Vente de vegetaux horticoles',107
'COMGE','COMMERCIALISATION-GESTION','Commercialisation-gestion',108
'EXPCT','EXPLOITATION ENTREPR. COM. TRADITIONNELL','Exploitation entrepr. com. traditionnell',109
'E-OVE','ECONOMIE ET ORGA.ET VIE DE L''ENTREPRISE','Economie et orga.et vie de l''entreprise',218
